Estado,Partido,MR,RP,Legislatura,year
Oaxaca,PFCRN,,,LVI,1995
Oaxaca,PRD,,,LVI,1995
Oaxaca,PT,,,LVI,1995
Oaxaca,Local,,,LVI,1995
Oaxaca,PRI,23,,LVII,1998
Oaxaca,PAN,,,LVII,1998
Oaxaca,PRD,2,,LVII,1998
Oaxaca,PAN,,,LVIII,2001
Oaxaca,PCPD,,,LVIII,2001
Oaxaca,PRD,1,,LVIII,2001
Oaxaca,PRI,24,,LVIII,2001
Oaxaca,PT,,,LVIII,2001
Oaxaca,PAN,3,,LIX,2004
Oaxaca,PC,,,LIX,2004
Oaxaca,PRD,4,,LIX,2004
Oaxaca,PRI,18,,LIX,2004
Oaxaca,PT,,,LIX,2004
Oaxaca,PVEM,,,LIX,2004
Oaxaca,UP,,,LIX,2004
Oaxaca,Convergencia,,,LX,2007
Oaxaca,PAN,,,LX,2007
Oaxaca,PASD,,,LX,2007
Oaxaca,PNA,,,LX,2007
Oaxaca,PRD,,,LX,2007
Oaxaca,PRI,25,,LX,2007
Oaxaca,PT,,,LX,2007
Oaxaca,UP,,,LX,2007
Oaxaca,Convergencia,2,,LXI,2010
Oaxaca,PAN,8,,LXI,2010
Oaxaca,PRD,5,,LXI,2010
Oaxaca,PRI,9,,LXI,2010
Oaxaca,PT,1,,LXI,2010
Oaxaca,UP,,,LXI,2010
Oaxaca,NDF,,,LXII,2013
Oaxaca,PAN,7,,LXII,2013
Oaxaca,PNA,,,LXII,2013
Oaxaca,PRD,6,,LXII,2013
Oaxaca,PRI,11,,LXII,2013
Oaxaca,PSD,,,LXII,2013
Oaxaca,PT,,,LXII,2013
Oaxaca,PVEM,1,,LXII,2013
Oaxaca,UP,,,LXII,2013
Oaxaca,Morena,5,,LXIII,2016
Oaxaca,PAN,2,,LXIII,2016
Oaxaca,PES,1,,LXIII,2016
Oaxaca,PRD,3,,LXIII,2016
Oaxaca,PRI,13,,LXIII,2016
Oaxaca,PT,,,LXIII,2016
Oaxaca,PUP,,,LXIII,2016
Oaxaca,PVEM,1,,LXIII,2016
Oaxaca,MI,1,,LXIV,2019
Oaxaca,Morena,18,,LXIV,2019
Oaxaca,PAN,,,LXIV,2019
Oaxaca,PES,2,,LXIV,2019
Oaxaca,PRI,1,,LXIV,2019
Oaxaca,PT,3,,LXIV,2019
Oaxaca,PVEM,,,LXIV,2019
Puebla,PRI,16,,XLV,1972
Puebla,PRI,18,,XLVI,1975
Puebla,PRI,20,,XLVII,1978
Puebla,PAN,,,XLVII,1978
Puebla,PPS,,,XLVII,1978
Puebla,PARM,,,XLVII,1978
Puebla,PRI,20,,XLVIII,1981
Puebla,PAN,,,XLVIII,1981
Puebla,PST,,,XLVIII,1981
Puebla,PPS,,,XLVIII,1981
Puebla,PARM,,,XLVIII,1981
Puebla,PCM,,,XLVIII,1981
Puebla,PRI,22,,XLIX,1984
Puebla,PAN,,,XLIX,1984
Puebla,PST,,,XLIX,1984
Puebla,PDM,,,XLIX,1984
Puebla,PPS,,,XLIX,1984
Puebla,PSUM,,,XLIX,1984
Puebla,PRI,22,,L,1987
Puebla,PAN,,,L,1987
Puebla,PPS,,,L,1987
Puebla,Coalición,,,L,1987
Puebla,PRI,22,,LI,1990
Puebla,PAN,,,LI,1990
Puebla,PPS,,,LI,1990
Puebla,PARM,,,LI,1990
Puebla,PFCRN,,,LI,1990
Puebla,PRD,,,LI,1990
Puebla,PRI,22,,LII,1993
Puebla,PAN,,,LII,1993
Puebla,PPS,,,LII,1993
Puebla,PFCRN,,,LII,1993
Puebla,PRD,,,LII,1993
Puebla,PRI,16,,LIII,1996
Puebla,PAN,10,,LIII,1996
Puebla,PRD,,,LIII,1996
Puebla,PT,,,LIII,1996
Puebla,PRI,25,,LIV,1999
Puebla,PAN,1,,LIV,1999
Puebla,PRD,,,LIV,1999
Puebla,PT,,,LIV,1999
Puebla,PVEM,,,LIV,1999
Puebla,PAN,6,,LV,2002
Puebla,PCD,,,LV,2002
Puebla,PRD,,,LV,2002
Puebla,PRI,20,,LV,2002
Puebla,PT,,,LV,2002
Puebla,PVEM,,,LV,2002
Puebla,Convergencia,,,LVI,2005
Puebla,PAN,3,,LVI,2005
Puebla,PRD,,,LVI,2005
Puebla,PRI,23,,LVI,2005
Puebla,PT,,,LVI,2005
Puebla,PVEM,,,LVI,2005
Puebla,Convergencia,,,LVII,2008
Puebla,PAN,1,,LVII,2008
Puebla,PNA,,,LVII,2008
Puebla,PRD,,,LVII,2008
Puebla,PRI,25,,LVII,2008
Puebla,PT,,,LVII,2008
Puebla,Convergencia,,,LVIII,2011
Puebla,PAN,14,,LVIII,2011
Puebla,PRI,11,,LVIII,2011
Puebla,PT,,,LVIII,2011
Puebla,PVEM,1,,LVIII,2011
Puebla,Comp. con Puebla,4,,LIX,2014
Puebla,PAN,13,,LIX,2014
Puebla,PNA,3,,LIX,2014
Puebla,PRD,2,,LIX,2014
Puebla,PRI,1,,LIX,2014
Puebla,indep,2,,LIX,2014
Puebla,PT,,,LIX,2014
Puebla,PVEM,1,,LIX,2014
Puebla,MC,,,LIX,2014
Puebla,Morena,10,,LX,2018
Puebla,PAN,4,,LX,2018
Puebla,PT,3,,LX,2018
Puebla,PRI,1,,LX,2018
Puebla,PES,3,,LX,2018
Puebla,PRD,2,,LX,2018
Puebla,MC,1,,LX,2018
Puebla,PNA,1,,LX,2018
Puebla,PVEM,,,LX,2018
Puebla,CPP,1,,LX,2018
Querétaro,PRI,9,,XLIV,1973
Querétaro,PRI,9,,XLV,1976
Querétaro,PRI,12,,XLVI,1979
Querétaro,PRI,12,,XLVII,1982
Querétaro,PAN,,,XLVII,1982
Querétaro,PRI,12,,XLVIII,1985
Querétaro,PAN,,,XLVIII,1985
Querétaro,PDM,,,XLVIII,1985
Querétaro,PRI,12,,XLIX,1988
Querétaro,PAN,,,XLIX,1988
Querétaro,PDM,,,XLIX,1988
Querétaro,PPS,,,XLIX,1988
Querétaro,PFCRN,,,XLIX,1988
Querétaro,PRI,14,,L,1991
Querétaro,PAN,,,L,1991
Querétaro,PPS,,,L,1991
Querétaro,PFCRN,,,L,1991
Querétaro,PRD,,,L,1991
Querétaro,PRI,15,,LI,1994
Querétaro,PAN,,,LI,1994
Querétaro,PRD,,,LI,1994
Querétaro,PT,,,LI,1994
Querétaro,PRI,7,,LII,1997
Querétaro,PAN,8,,LII,1997
Querétaro,PFCRN,,,LII,1997
Querétaro,PRD,,,LII,1997
Querétaro,PT,,,LII,1997
Querétaro,PVEM,,,LII,1997
Quinatan Roo,PRI,7,,CONSTITUYENTE,1974
Quinatan Roo,PRI,7,,I,1975
Quinatan Roo,PRI,8,,II,1978
Quinatan Roo,PPS,,,II,1978
Quinatan Roo,PARM,,,II,1978
Quinatan Roo,PRI,9,,III,1981
Quinatan Roo,PPS,,,III,1981
Quinatan Roo,PARM,,,III,1981
Quinatan Roo,PRI,11,,IV,1984
Quinatan Roo,PAN,,,IV,1984
Quinatan Roo,PST,,,IV,1984
Quinatan Roo,PPS,,,IV,1984
Quinatan Roo,PSUM,,,IV,1984
Quinatan Roo,PRI,11,,V,1987
Quinatan Roo,PAN,,,V,1987
Quinatan Roo,PPS,,,V,1987
Quinatan Roo,PSUM,,,V,1987
Quinatan Roo,PFCRN,,,V,1987
Quinatan Roo,PRI,13,,VI,1990
Quinatan Roo,PAN,,,VI,1990
Quinatan Roo,PFCRN,,,VI,1990
Quinatan Roo,PRD,,,VI,1990
Quinatan Roo,PRI,13,,VII,1993
Quinatan Roo,PAN,,,VII,1993
Quinatan Roo,PPS,,,VII,1993
Quinatan Roo,PARM,,,VII,1993
Quinatan Roo,PRD,,,VII,1993
Quinatan Roo,PRI,14,,VIII,1996
Quinatan Roo,PAN,1,,VIII,1996
Quinatan Roo,PRD,,,VIII,1996
Quinatan Roo,PRI,11,,IX,1999
Quinatan Roo,PAN,,,IX,1999
Quinatan Roo,PRD,4,,IX,1999
Quinatan Roo,PT,,,IX,1999
Quintana Roo,PAN,,,X,2002
Quintana Roo,PCD,,,X,2002
Quintana Roo,PRD,,,X,2002
Quintana Roo,PRI,15,,X,2002
Quintana Roo,PVEM,,,X,2002
Quintana Roo,PAN,3,,XI,2005
Quintana Roo,PCD,1,,XI,2005
Quintana Roo,PRD,5,,XI,2005
Quintana Roo,PRI,6,,XI,2005
Quintana Roo,PT,,,XI,2005
Quintana Roo,PVEM,,,XI,2005
Quintana Roo,CONV,,,XII,2008
Quintana Roo,PAN,1,,XII,2008
Quintana Roo,PNA,,,XII,2008
Quintana Roo,PRD,,,XII,2008
Quintana Roo,PRI,13,,XII,2008
Quintana Roo,PT,,,XII,2008
Quintana Roo,PVEM,1,,XII,2008
Quintana Roo,CONV,,,XIII,2011
Quintana Roo,PAN,1,,XIII,2011
Quintana Roo,PANAL,2,,XIII,2011
Quintana Roo,PRD,2,,XIII,2011
Quintana Roo,PRI,9,,XIII,2011
Quintana Roo,PT,,,XIII,2011
Quintana Roo,PVEM,1,,XIII,2011
Quintana Roo,INDEPENDIENTE,,,XIV,2013
Quintana Roo,MC,,,XIV,2013
Quintana Roo,PAN,2,,XIV,2013
Quintana Roo,PANAL,,,XIV,2013
Quintana Roo,PRD,,,XIV,2013
Quintana Roo,PRI,24,,XIV,2013
Quintana Roo,PT,,,XIV,2013
Quintana Roo,PVEM,3,,XIV,2013
Quintana Roo,PAN,3,,XV,2016
Quintana Roo,PRI,4,,XV,2016
Quintana Roo,PVEM,5,,XV,2016
Quintana Roo,PRD,2,,XV,2016
Quintana Roo,IND,,,XV,2016
Quintana Roo,Morena,,,XV,2016
Quintana Roo,PES,,,XV,2016
Quintana Roo,MAS,,,XVI,2019
Quintana Roo,MC,,,XVI,2019
Quintana Roo,MORENA,6,,XVI,2019
Quintana Roo,PAN,2,,XVI,2019
Quintana Roo,PRD,1,,XVI,2019
Quintana Roo,PRI,1,,XVI,2019
Quintana Roo,PT,3,,XVI,2019
Quintana Roo,PVEM,2,,XVI,2019
San Luis Potosí,PRI,11,,XLVII,1972
San Luis Potosí,PRI,11,,XLVIII,1975
San Luis Potosí,PRI,11,,XLIX,1978
San Luis Potosí,PRI,11,,L,1981
San Luis Potosí,PAN,,,L,1981
San Luis Potosí,PDM,,,L,1981
San Luis Potosí,PPS,,,L,1981
San Luis Potosí,PARM,,,L,1981
San Luis Potosí,PSUM,,,L,1981
San Luis Potosí,PRI,11,,LI,1984
San Luis Potosí,PAN,,,LI,1984
San Luis Potosí,PDM,,,LI,1984
San Luis Potosí,PPS,,,LI,1984
San Luis Potosí,PSUM,,,LI,1984
San Luis Potosí,PRI,11,,LII,1987
San Luis Potosí,PAN,,,LII,1987
San Luis Potosí,PRI,11,,LIII,1990
San Luis Potosí,PAN,,,LIII,1990
San Luis Potosí,PARM,,,LIII,1990
San Luis Potosí,PFCRN,,,LIII,1990
San Luis Potosí,PRI,13,,LIV,1993
San Luis Potosí,PAN,,,LIV,1993
San Luis Potosí,PRD,,,LIV,1993
San Luis Potosí,Local,,,LIV,1993
San Luis Potosí,PRI,9,,LV,1997
San Luis Potosí,PAN,6,,LV,1997
San Luis Potosí,PRD,,,LV,1997
San Luis Potosí,PT,,,LV,1997
San Luis Potosí,PAN,6,,LVI,2000
San Luis Potosí,PRD,,,LVI,2000
San Luis Potosí,PRI,9,,LVI,2000
San Luis Potosí,PAN,6,,LVII,2003
San Luis Potosí,PCP,,,LVII,2003
San Luis Potosí,PRD,,,LVII,2003
San Luis Potosí,PRI,9,,LVII,2003
San Luis Potosí,PVEM,,,LVII,2003
San Luis Potosí,PAN,13,,LVIII,2006
San Luis Potosí,PRD,,,LVIII,2006
San Luis Potosí,PRI,1,,LVIII,2006
San Luis Potosí,PT,1,,LVIII,2006
San Luis Potosí,PVEM,,,LVIII,2006
San Luis Potosí,,,,LVIII,2006
San Luis Potosí,PAN,7,,LIX,2009
San Luis Potosí,PANAL,2,,LIX,2009
San Luis Potosí,PCOP,,,LIX,2009
San Luis Potosí,PRD,,,LIX,2009
San Luis Potosí,PRI,6,,LIX,2009
San Luis Potosí,PT,,,LIX,2009
San Luis Potosí,PVEM,,,LIX,2009
San Luis Potosí,CP,,,LX,2012
San Luis Potosí,MC,,,LX,2012
San Luis Potosí,PAN,4,,LX,2012
San Luis Potosí,PANAL,,,LX,2012
San Luis Potosí,PRD,1,,LX,2012
San Luis Potosí,PRI,7,,LX,2012
San Luis Potosí,PT,,,LX,2012
San Luis Potosí,PVEM,3,,LX,2012
San Luis Potosí,Conciencia Popular,,,LXI,2015
San Luis Potosí,MC,,,LXI,2015
San Luis Potosí,MORENA,,,LXI,2015
San Luis Potosí,PAN,4,,LXI,2015
San Luis Potosí,PNA,1,,LXI,2015
San Luis Potosí,PRD,3,,LXI,2015
San Luis Potosí,PRI,6,,LXI,2015
San Luis Potosí,PT,,,LXI,2015
San Luis Potosí,PVEM,1,,LXI,2015
San Luis Potosí,CP,,,LXII,2018
San Luis Potosí,IND,,,LXII,2018
San Luis Potosí,MC,,,LXII,2018
San Luis Potosí,Morena,4,,LXII,2018
San Luis Potosí,PAN,4,,LXII,2018
San Luis Potosí,PES,1,,LXII,2018
San Luis Potosí,PNA,,,LXII,2018
San Luis Potosí,PRD,,,LXII,2018
San Luis Potosí,PRI,3,,LXII,2018
San Luis Potosí,PT,2,,LXII,2018
Sinaloa,PRI,19,,XLVIII,1974
Sinaloa,PRI,19,,XLIX,1977
Sinaloa,PRI,23,,L,1980
Sinaloa,PAN,,,L,1980
Sinaloa,PSUM,,,L,1980
Sinaloa,Local,,,L,1980
Sinaloa,PRI,22,,LI,1983
Sinaloa,PAN,1,,LI,1983
Sinaloa,PSUM,,,LI,1983
Sinaloa,PRI,23,,LII,1986
Sinaloa,PAN,,,LII,1986
Sinaloa,Local,,,LII,1986
Sinaloa,PRI,20,,LIII,1989
Sinaloa,PAN,3,,LIII,1989
Sinaloa,PRD,,,LIII,1989
Sinaloa,PRI,23,,LIV,1992
Sinaloa,PAN,,,LIV,1992
Sinaloa,PRD,,,LIV,1992
Sinaloa,PRI,16,,LV,1995
Sinaloa,PAN,7,,LV,1995
Sinaloa,PRD,1,,LV,1995
Sinaloa,PT,,,LV,1995
Sinaloa,PRI,21,,LVI,1998
Sinaloa,PAN,3,,LVI,1998
Sinaloa,PRD,,,LVI,1998
Sinaloa,PAN,3,,LVII,2001
Sinaloa,PBS,,,LVII,2001
Sinaloa,PRD,,,LVII,2001
Sinaloa,PRI,20,,LVII,2001
Sinaloa,PT,1,,LVII,2001
Sinaloa,PAN,5,,LVIII,2004
Sinaloa,PRD,1,,LVIII,2004
Sinaloa,PRI,18,,LVIII,2004
Sinaloa,PT,,,LVIII,2004
Sinaloa,PAN,6,,LIX,2007
Sinaloa,PRD,,,LIX,2007
Sinaloa,PRI,18,,LIX,2007
Sinaloa,Convergencia,,,LX,2010
Sinaloa,IND,,,LX,2010
Sinaloa,PAN,9,,LX,2010
Sinaloa,PNA,1,,LX,2010
Sinaloa,PRD,,,LX,2010
Sinaloa,PRI,14,,LX,2010
Sinaloa,PT,,,LX,2010
Sinaloa,PVEM,,,LX,2010
Sinaloa,MC,,1,LXI,2013
Sinaloa,PAN,4,6,LXI,2013
Sinaloa,PAS,,3,LXI,2013
Sinaloa,PNA,1,,LXI,2013
Sinaloa,PRD,,2,LXI,2013
Sinaloa,PRI,19,3,LXI,2013
Sinaloa,PT,,1,LXI,2013
Sinaloa,Morena,,2,LXII,2016
Sinaloa,PAN,2,5,LXII,2016
Sinaloa,PAS,,6,LXII,2016
Sinaloa,PNA,1,1,LXII,2016
Sinaloa,PRD,,1,LXII,2016
Sinaloa,PRI,21,,LXII,2016
Sinaloa,PVEM,,1,LXII,2016
Sinaloa,INDEP,1,,LXIII,2018
Sinaloa,Morena,16,8,LXIII,2018
Sinaloa,PAN,,2,LXIII,2018
Sinaloa,PAS,,1,LXIII,2018
Sinaloa,PES,1,,LXIII,2018
Sinaloa,PRD,1,,LXIII,2018
Sinaloa,PRI,3,5,LXIII,2018
Sinaloa,PT,2,,LXIII,2018
Sonora,PRI,11,,XLVII,1973
Sonora,PRI,11,,XLVIII,1976
Sonora,PRI,13,,XLIX,1979
Sonora,PAN,2,,XLIX,1979
Sonora,PPS,,,XLIX,1979
Sonora,PARM,,,XLIX,1979
Sonora,PRI,17,,L,1982
Sonora,PAN,,,L,1982
Sonora,PST,,,L,1982
Sonora,PDM,,,L,1982
Sonora,PPS,,,L,1982
Sonora,PSUM,,,L,1982
Sonora,PRI,18,,LI,1985
Sonora,PAN,,,LI,1985
Sonora,PPS,,,LI,1985
Sonora,PARM,,,LI,1985
Sonora,PFCRN,,,LI,1985
Sonora,PRT,,,LI,1985
Sonora,PRI,18,,LII,1988
Sonora,PAN,,,LII,1988
Sonora,PPS,,,LII,1988
Sonora,PARM,,,LII,1988
Sonora,PFCRN,,,LII,1988
Sonora,PRI,18,,LIII,1991
Sonora,PAN,,,LIII,1991
Sonora,PARM,,,LIII,1991
Sonora,PFCRN,,,LIII,1991
Sonora,PRD,,,LIII,1991
Sonora,PT,,,LIII,1991
Sonora,PRI,16,,LIV,1994
Sonora,PAN,4,,LIV,1994
Sonora,PRD,1,,LIV,1994
Sonora,PT,,,LIV,1994
Sonora,PRI,9,,LV,1997
Sonora,PAN,6,,LV,1997
Sonora,PRD,6,,LV,1997
Sonora,PAN,8,,LVI,2000
Sonora,PRD,2,,LVI,2000
Sonora,PRI,11,,LVI,2000
Sonora,PAN,6,,LVII,2003
Sonora,PRD,,,LVII,2003
Sonora,PRI,15,,LVII,2003
Sonora,PAN,7,,LVIII,2006
Sonora,PNA,1,,LVIII,2006
Sonora,PRD,,,LVIII,2006
Sonora,PRI,13,,LVIII,2006
Sonora,PT,,,LVIII,2006
Sonora,PAN,9,,LIX,2009
Sonora,PNA,1,,LIX,2009
Sonora,PRD,,,LIX,2009
Sonora,PRI,10,,LIX,2009
Sonora,PVEM,1,,LIX,2009
Sonora,PAN,11,,LX,2012
Sonora,PNA,,,LX,2012
Sonora,PRD,,,LX,2012
Sonora,PRI,8,,LX,2012
Sonora,PVEM,1,,LX,2012
Sonora,PRI,13,,LXI,2015
Sonora,PAN,8,,LXI,2015
Sonora,PRD,,,LXI,2015
Sonora,MC,,,LXI,2015
Sonora,PNA,,,LXI,2015
Sonora,Morena,,,LXI,2015
Sonora,MC,,,LXII,2018
Sonora,Morena,11,,LXII,2018
Sonora,PAN,,,LXII,2018
Sonora,PES,5,,LXII,2018
Sonora,PNA,1,,LXII,2018
Sonora,PRI,,,LXII,2018
Sonora,PT,4,,LXII,2018
Sonora,PVEM,,,LXII,2018
Tabasco,PRI,14,,XLVIII,1974
Tabasco,PRI,17,,XLIX,1977
Tabasco,PRI,17,,L,1980
Tabasco,PPS,,,L,1980
Tabasco,PRI,17,,LI,1983
Tabasco,PPS,,,LI,1983
Tabasco,PRI,17,,LII,1986
Tabasco,PST,,,LII,1986
Tabasco,PPS,,,LII,1986
Tabasco,PRI,17,,LIII,1989
Tabasco,PPS,,,LIII,1989
Tabasco,PFCRN,,,LIII,1989
Tabasco,PRI,17,,LIV,1992
Tabasco,PAN,,,LIV,1992
Tabasco,PFCRN,,,LIV,1992
Tabasco,PRD,,,LIV,1992
Tabasco,PRI,15,,LV,1995
Tabasco,PAN,,,LV,1995
Tabasco,PRD,2,,LV,1995
Tabasco,PRI,18,,LVI,1998
Tabasco,PAN,,,LVI,1998
Tabasco,PRD,,,LVI,1998
Tabasco,PAN,,,LVII,2001
Tabasco,PRD,6,,LVII,2001
Tabasco,PRI,12,,LVII,2001
Tabasco,PT,,,LVII,2001
Tabasco,PAN,1,,LVIII,2004
Tabasco,PRD,11,,LVIII,2004
Tabasco,PRI,9,,LVIII,2004
Tabasco,PVEM,,,LVIII,2004
Tabasco,PAN,,,LIX,2007
Tabasco,PRD,9,,LIX,2007
Tabasco,PRI,12,,LIX,2007
Tabasco,PAN,2,,LX,2010
Tabasco,PNA,1,,LX,2010
Tabasco,PRD,6,,LX,2010
Tabasco,PRI,12,,LX,2010
Tabasco,PT,,,LX,2010
Tabasco,PAN,,,LXI,2013
Tabasco,PMC,,,LXI,2013
Tabasco,PNA,,,LXI,2013
Tabasco,PRD,17,,LXI,2013
Tabasco,PRI,3,,LXI,2013
Tabasco,PT,1,,LXI,2013
Tabasco,PVEM,,,LXI,2013
Tabasco,INDEP,1,,LXII,2016
Tabasco,MC,,,LXII,2016
Tabasco,Morena,1,,LXII,2016
Tabasco,PAN,,,LXII,2016
Tabasco,PRD,13,,LXII,2016
Tabasco,PRI,3,,LXII,2016
Tabasco,PT,,,LXII,2016
Tabasco,PVEM,3,,LXII,2016
Tabasco,Morena,21,,LXIII,2019
Tabasco,PRD,,,LXIII,2019
Tabasco,PRI,,,LXIII,2019
Tabasco,PVEM,,,LXIII,2019
Tamaulipas,PRI,10,,XLVIII,1972
Tamaulipas,PPS,1,,XLVIII,1972
Tamaulipas,PRI,10,,XLIX,1975
Tamaulipas,PARM,1,,XLIX,1975
Tamaulipas,PRI,14,,L,1978
Tamaulipas,PRI,13,,LI,1981
Tamaulipas,PST,,,LI,1981
Tamaulipas,PARM,1,,LI,1981
Tamaulipas,PRI,15,,LII,1984
Tamaulipas,PAN,,,LII,1984
Tamaulipas,PST,,,LII,1984
Tamaulipas,PDM,,,LII,1984
Tamaulipas,PSUM,,,LII,1984
Tamaulipas,PRI,15,,LIII,1987
Tamaulipas,PAN,,,LIII,1987
Tamaulipas,PST,,,LIII,1987
Tamaulipas,PARM,,,LIII,1987
Tamaulipas,Coalición,,,LIII,1987
Tamaulipas,PRI,18,,LIV,1990
Tamaulipas,PAN,,,LIV,1990
Tamaulipas,PARM,1,,LIV,1990
Tamaulipas,PFCRN,,,LIV,1990
Tamaulipas,PRD,,,LIV,1990
Tamaulipas,PRI,18,,LV,1993
Tamaulipas,PAN,1,,LV,1993
Tamaulipas,PARM,,,LV,1993
Tamaulipas,PFCRN,,,LV,1993
Tamaulipas,PRD,,,LV,1993
Tamaulipas,PRI,14,,LVI,1996
Tamaulipas,PAN,4,,LVI,1996
Tamaulipas,PARM,,,LVI,1996
Tamaulipas,PFCRN,,,LVI,1996
Tamaulipas,PRD,1,,LVI,1996
Tamaulipas,PRI,17,,LVII,1999
Tamaulipas,PAN,,,LVII,1999
Tamaulipas,PRD,2,,LVII,1999
Tamaulipas,PAN,2,,LVIII,2001
Tamaulipas,PRD,,,LVIII,2001
Tamaulipas,PRI,16,,LVIII,2001
Tamaulipas,PT,1,,LVIII,2001
Tamaulipas,PAN,1,,LIX,2005
Tamaulipas,PRI,18,,LIX,2005
Tamaulipas,PT,,,LIX,2005
Tamaulipas,UT,,,LIX,2005
Tamaulipas,PAN,,,LX,2008
Tamaulipas,PNA,1,,LX,2008
Tamaulipas,PRD,,,LX,2008
Tamaulipas,PRI,17,,LX,2008
Tamaulipas,PT,,,LX,2008
Tamaulipas,PVEM,1,,LX,2008
Tamaulipas,PAN,,,LXI,2010
Tamaulipas,PANAL,2,,LXI,2010
Tamaulipas,PRD,,,LXI,2010
Tamaulipas,PRI,18,,LXI,2010
Tamaulipas,PT,,,LXI,2010
Tamaulipas,PVEM,2,,LXI,2010
Tamaulipas,Indep,,,LXII,2013
Tamaulipas,PAN,,,LXII,2013
Tamaulipas,PANAL,2,,LXII,2013
Tamaulipas,PRD,,,LXII,2013
Tamaulipas,PRI,16,,LXII,2013
Tamaulipas,PT,,,LXII,2013
Tamaulipas,PVEM,2,,LXII,2013
Tamaulipas,INDEP,1,,LXIII,2016
Tamaulipas,PAN,5,,LXIII,2016
Tamaulipas,PNA,2,,LXIII,2016
Tamaulipas,PRD,,,LXIII,2016
Tamaulipas,PRI,14,,LXIII,2016
Tamaulipas,PT,,,LXIII,2016
Tamaulipas,PVEM,,,LXIII,2016
Tamaulipas,PAN,21,,LXIV,2019
Tamaulipas,Morena,1,,LXIV,2019
Tamaulipas,PRI,,,LXIV,2019
Tamaulipas,MC,,,LXIV,2019
Tlaxcala,PRI,7,,XLVII,1971
Tlaxcala,PRI,9,,XLVIII,1974
Tlaxcala,PAN,,1,XLVIII,1974
Tlaxcala,PPS,,1,XLVIII,1974
Tlaxcala,PRI,9,,XLIX,1977
Tlaxcala,PAN,,1,XLIX,1977
Tlaxcala,PRI,9,,L,1980
Tlaxcala,PAN,,,L,1980
Tlaxcala,PDM,,,L,1980
Tlaxcala,PSUM,,,L,1980
Tlaxcala,PRI,9,,LI,1983
Tlaxcala,PAN,,,LI,1983
Tlaxcala,PST,,,LI,1983
Tlaxcala,PDM,,,LI,1983
Tlaxcala,PPS,,,LI,1983
Tlaxcala,PRI,9,,LII,1986
Tlaxcala,PAN,,,LII,1986
Tlaxcala,PDM,,,LII,1986
Tlaxcala,PSUM,,,LII,1986
Tlaxcala,PRI,9,,LIII,1989
Tlaxcala,PAN,,,LIII,1989
Tlaxcala,PFCRN,,,LIII,1989
Tlaxcala,PRD,,,LIII,1989
Tlaxcala,PRI,9,,LIV,1992
Tlaxcala,PAN,,,LIV,1992
Tlaxcala,PRD,,,LIV,1992
Tlaxcala,PRI,19,,LV,1995
Tlaxcala,PAN,,,LV,1995
Tlaxcala,PDM,,,LV,1995
Tlaxcala,PRD,,,LV,1995
Tlaxcala,PT,,,LV,1995
Tlaxcala,PVEM,,,LV,1995
Tlaxcala,PRI,16,,LVI,1998
Tlaxcala,PAN,,,LVI,1998
Tlaxcala,PRD,2,,LVI,1998
Tlaxcala,PT,1,,LVI,1998
Tlaxcala,PVEM,,,LVI,1998
Tlaxcala,CDPPN,,,LVII,2002
Tlaxcala,PAN,,,LVII,2002
Tlaxcala,PRD,6,,LVII,2002
Tlaxcala,PRI,13,,LVII,2002
Tlaxcala,PT,,,LVII,2002
Tlaxcala,PVEM,,,LVII,2002
Tlaxcala,PAN,3,,LVIII,2005
Tlaxcala,PC,,,LVIII,2005
Tlaxcala,PCDT,,,LVIII,2005
Tlaxcala,PRD,8,,LVIII,2005
Tlaxcala,PRI,8,,LVIII,2005
Tlaxcala,PT,,,LVIII,2005
Tlaxcala,PVEM,,,LVIII,2005
Tlaxcala,Convergencia,,,LIX,2008
Tlaxcala,IND,,,LIX,2008
Tlaxcala,PAN,14,,LIX,2008
Tlaxcala,PNA,,,LIX,2008
Tlaxcala,PRD,5,,LIX,2008
Tlaxcala,PRI,,,LIX,2008
Tlaxcala,PS,,,LIX,2008
Tlaxcala,PT,,,LIX,2008
Tlaxcala,PVEM,,,LIX,2008
Tlaxcala,Convergencia,1,,LX,2011
Tlaxcala,IND,,,LX,2011
Tlaxcala,PAC,,,LX,2011
Tlaxcala,PAN,7,,LX,2011
Tlaxcala,PNA,,,LX,2011
Tlaxcala,PRD,1,,LX,2011
Tlaxcala,PRI,9,,LX,2011
Tlaxcala,PS,,,LX,2011
Tlaxcala,PT,,,LX,2011
Tlaxcala,PVEM,1,,LX,2011
Tlaxcala,PAN,4,,LXI,2013
Tlaxcala,PRI,9,,LXI,2013
Tlaxcala,PRD,2,,LXI,2013
Tlaxcala,PT,,,LXI,2013
Tlaxcala,PVEM,2,,LXI,2013
Tlaxcala,PNA,1,,LXI,2013
Tlaxcala,MC,1,,LXI,2013
Tlaxcala,PS,,,LXI,2013
Tlaxcala,PAC,,,LXI,2013
Tlaxcala,PRI,6,,LXII,2016
Tlaxcala,PAN,2,2,LXII,2016
Tlaxcala,PRD,3,2,LXII,2016
Tlaxcala,PNA,1,1,LXII,2016
Tlaxcala,PVEM,1,1,LXII,2016
Tlaxcala,PS,1,1,LXII,2016
Tlaxcala,PT,1,1,LXII,2016
Tlaxcala,PAC,,1,LXII,2016
Tlaxcala,Morena,,1,LXII,2016
Tlaxcala,MC,,,LXIII,2019
