Estado,Partido,MR,RP,Legislatura,year
Chihuahua,PRI,6,,LXV,2016
Chihuahua,PT,,,LXV,2016
Chihuahua,PVEM,,,LXV,2016
Chihuahua,MC,2,,LXVI,2018
Chihuahua,Morena,6,,LXVI,2018
Chihuahua,PAN,10,,LXVI,2018
Chihuahua,PES,4,,LXVI,2018
Chihuahua,PNA,,,LXVI,2018
Chihuahua,PRI,2,,LXVI,2018
Chihuahua,PT,1,,LXVI,2018
Chihuahua,PVEM,,,LXVI,2018
Coahuila,PRI,11,,XLVI,1973
Coahuila,PRI,11,,XLVII,1976
Coahuila,PRI,12,,XLVIII,1979
Coahuila,PPS,,,XLVIII,1979
Coahuila,PARM,,,XLVIII,1979
Coahuila,PRI,12,,XLIX,1982
Coahuila,PAN,,,XLIX,1982
Coahuila,PFCRN,,,XLIX,1982
Coahuila,PRI,12,,L,1985
Coahuila,PAN,,,L,1985
Coahuila,PFCRN,,,L,1985
Coahuila,PRI,11,,LI,1988
Coahuila,PAN,,,LI,1988
Coahuila,PPS,,,LI,1988
Coahuila,PARM,,,LI,1988
Coahuila,PFCRN,,,LI,1988
Coahuila,PRI,15,,LII,1991
Coahuila,PAN,,,LII,1991
Coahuila,PFCRN,,,LII,1991
Coahuila,PRD,,,LII,1991
Coahuila,PRI,19,,LIII,1994
Coahuila,PAN,1,,LIII,1994
Coahuila,PFCRN,,,LIII,1994
Coahuila,PRD,,,LIII,1994
Coahuila,PT,,,LIII,1994
Coahuila,PRI,12,,LIV,1997
Coahuila,PAN,8,,LIV,1997
Coahuila,PFCRN,,,LIV,1997
Coahuila,PRD,,,LIV,1997
Coahuila,PT,,,LIV,1997
Coahuila,Coalición,,,LV,2000
Coahuila,PAN,1,,LV,2000
Coahuila,PCC,,,LV,2000
Coahuila,PRD,,,LV,2000
Coahuila,PRI,19,,LV,2000
Coahuila,UDC,,,LV,2000
Coahuila,PAN,4,,LVI,2003
Coahuila,PRD,,,LVI,2003
Coahuila,PRI,16,,LVI,2003
Coahuila,PT,,,LVI,2003
Coahuila,UDC,,,LVI,2003
Coahuila,PAN,4,,LVII,2006
Coahuila,PRD,,,LVII,2006
Coahuila,PRI,16,,LVII,2006
Coahuila,PT,,,LVII,2006
Coahuila,PVEM,,,LVII,2006
Coahuila,UDC,,,LVII,2006
Coahuila,PAN,,,LVIII,2009
