partido,prin,year,legis,estado
PAN,X,2003,LVI,Coahuila
PRI,XI,2003,LVI,Coahuila
PRI,XII,2003,LVI,Coahuila
PRI,XIII,2003,LVI,Coahuila
PAN,XIV,2003,LVI,Coahuila
PRI,XV,2003,LVI,Coahuila
PRI,XVI,2003,LVI,Coahuila
PRI,XVII,2003,LVI,Coahuila
PRI,XVIII,2003,LVI,Coahuila
PRI,XIX,2003,LVI,Coahuila
PRI,XX,2003,LVI,Coahuila
PRI,,2003,LVI,Coahuila
PRI,,2003,LVI,Coahuila
PRI,,2003,LVI,Coahuila
PRI,,2003,LVI,Coahuila
PAN,,2003,LVI,Coahuila
PAN,,2003,LVI,Coahuila
PAN,,2003,LVI,Coahuila
PAN,,2003,LVI,Coahuila
PRD,,2003,LVI,Coahuila
PRD,,2003,LVI,Coahuila
PRD,,2003,LVI,Coahuila
UDC,,2003,LVI,Coahuila
UDC,,2003,LVI,Coahuila
PT,,2003,LVI,Coahuila
PT,,2003,LVI,Coahuila
PRI,I,2000,LV,Coahuila
PRI,II,2000,LV,Coahuila
PRI,III,2000,LV,Coahuila
PRI,IV,2000,LV,Coahuila
PRI,V,2000,LV,Coahuila
PRI,VI,2000,LV,Coahuila
PRI,VII,2000,LV,Coahuila
PRI,VIII,2000,LV,Coahuila
PRI,IX,2000,LV,Coahuila
PAN,X,2000,LV,Coahuila
PRI,XI,2000,LV,Coahuila
PRI,XII,2000,LV,Coahuila
PRI,XIII,2000,LV,Coahuila
PRI,XIV,2000,LV,Coahuila
PRI,XV,2000,LV,Coahuila
PRI,XVI,2000,LV,Coahuila
PRI,XVII,2000,LV,Coahuila
PRI,XVIII,2000,LV,Coahuila
PRI,XIX,2000,LV,Coahuila
PRI,XX,2000,LV,Coahuila
PAN,,2000,LV,Coahuila
PRD,,2000,LV,Coahuila
PRD,,2000,LV,Coahuila
PRD,,2000,LV,Coahuila
UDC,,2000,LV,Coahuila
UDC,,2000,LV,Coahuila
Coalición,,2000,LV,Coahuila
Coalición,,2000,LV,Coahuila
Coalición,,2000,LV,Coahuila
Coalición,,2000,LV,Coahuila
PCC,,2000,LV,Coahuila
PCC,,2000,LV,Coahuila
PRI,I,2013,LXVI,Durango
PRI,II,2013,LXVI,Durango
PRI,III,2013,LXVI,Durango
PRI,IV,2013,LXVI,Durango
PRI,V,2013,LXVI,Durango
PRI,VI,2013,LXVI,Durango
PRI,VII,2013,LXVI,Durango
PRI,VIII,2013,LXVI,Durango
PRI,IX,2013,LXVI,Durango
PRI,X,2013,LXVI,Durango
PRI,XI,2013,LXVI,Durango
PRI,XII,2013,LXVI,Durango
PRI,XIII,2013,LXVI,Durango
PRI,XIV,2013,LXVI,Durango
PRI,XV,2013,LXVI,Durango
PRI,XVI,2013,LXVI,Durango
PRI,XVII,2013,LXVI,Durango
Coalicion,,2013,LXVI,Durango
PAN,,2013,LXVI,Durango
PT,,2013,LXVI,Durango
PRI,,2013,LXVI,Durango
MoCi,,2013,LXVI,Durango
PRI,,2013,LXVI,Durango
PRI,,2013,LXVI,Durango
PVEM,,2013,LXVI,Durango
PaDu,,2013,LXVI,Durango
PRI,,2013,LXVI,Durango
PAN,,2013,LXVI,Durango
PNA,,2013,LXVI,Durango
PRD,,2013,LXVI,Durango
PRI,I,2010,LXV,Durango
PAN,II,2010,LXV,Durango
PRI,III,2010,LXV,Durango
PRI,IV,2010,LXV,Durango
PAN,V,2010,LXV,Durango
PRI,VI,2010,LXV,Durango
PRI,VII,2010,LXV,Durango
PAN,VIII,2010,LXV,Durango
PRI,IX,2010,LXV,Durango
PRI,X,2010,LXV,Durango
PANAL,XI,2010,LXV,Durango
PRI,XII,2010,LXV,Durango
PRI,XIII,2010,LXV,Durango
PRI,XIV,2010,LXV,Durango
PAN,XV,2010,LXV,Durango
PRI,XVI,2010,LXV,Durango
PANAL,XVII,2010,LXV,Durango
PRI,,2010,LXV,Durango
PRI,,2010,LXV,Durango
PRI,,2010,LXV,Durango
PRI,,2010,LXV,Durango
PRI,,2010,LXV,Durango
PRI,,2010,LXV,Durango
PAN,,2010,LXV,Durango
PAN,,2010,LXV,Durango
PANAL,,2010,LXV,Durango
PRD,,2010,LXV,Durango
PT,,2010,LXV,Durango
PVEM,,2010,LXV,Durango
PD,,2010,LXV,Durango
PRI,I,2007,LXIV,Durango
PRI,II,2007,LXIV,Durango
PRI,III,2007,LXIV,Durango
PRI,IV,2007,LXIV,Durango
PRI,V,2007,LXIV,Durango
PRI,VI,2007,LXIV,Durango
PRI,VII,2007,LXIV,Durango
PRI,VIII,2007,LXIV,Durango
PRI,IX,2007,LXIV,Durango
PRI,X,2007,LXIV,Durango
PRI,XI,2007,LXIV,Durango
PRI,XII,2007,LXIV,Durango
PRI,XIII,2007,LXIV,Durango
PRI,XIV,2007,LXIV,Durango
PRI,XV,2007,LXIV,Durango
PRI,XVI,2007,LXIV,Durango
PRI,XVII,2007,LXIV,Durango
PAN,,2007,LXIV,Durango
PAN,,2007,LXIV,Durango
PAN,,2007,LXIV,Durango
PAN,,2007,LXIV,Durango
PAN,,2007,LXIV,Durango
PAN,,2007,LXIV,Durango
PAN,,2007,LXIV,Durango
PAN,,2007,LXIV,Durango
PT,,2007,LXIV,Durango
PT,,2007,LXIV,Durango
PRD,,2007,LXIV,Durango
PD,,2007,LXIV,Durango
PNA,,2007,LXIV,Durango
PRI,I,2004,LXIII,Durango
PRI,II,2004,LXIII,Durango
PRI,III,2004,LXIII,Durango
PRI,IV,2004,LXIII,Durango
PRI,V,2004,LXIII,Durango
PRI,VI,2004,LXIII,Durango
PRI,VII,2004,LXIII,Durango
PRI,VIII,2004,LXIII,Durango
PRI,IX,2004,LXIII,Durango
PRI,X,2004,LXIII,Durango
PRI,XI,2004,LXIII,Durango
PRI,XII,2004,LXIII,Durango
PRI,XIII,2004,LXIII,Durango
PRI,XIV,2004,LXIII,Durango
PRI,XV,2004,LXIII,Durango
PAN,,2004,LXIII,Durango
PAN,,2004,LXIII,Durango
PAN,,2004,LXIII,Durango
PAN,,2004,LXIII,Durango
PAN,,2004,LXIII,Durango
PAN,,2004,LXIII,Durango
PAN,,2004,LXIII,Durango
PRD,,2004,LXIII,Durango
PT,,2004,LXIII,Durango
Partido por Durango,,2004,LXIII,Durango
PRI,I,2001,LXII,Durango
PRI,II,2001,LXII,Durango
PRI,III,2001,LXII,Durango
PRI,IV,2001,LXII,Durango
PRI,V,2001,LXII,Durango
PRI,VI,2001,LXII,Durango
PRI,VII,2001,LXII,Durango
PRI,VIII,2001,LXII,Durango
PAN,IX,2001,LXII,Durango
PRI,X,2001,LXII,Durango
PRI,XI,2001,LXII,Durango
PRI,XII,2001,LXII,Durango
PRI,XIII,2001,LXII,Durango
PRI,XIV,2001,LXII,Durango
PAN,XV,2001,LXII,Durango
PAN,,2001,LXII,Durango
PAN,,2001,LXII,Durango
PAN,,2001,LXII,Durango
PAN,,2001,LXII,Durango
PAN,,2001,LXII,Durango
PT,,2001,LXII,Durango
PT,,2001,LXII,Durango
PRD,,2001,LXII,Durango
PD,,2001,LXII,Durango
PAN,I,2015,LIII,Morelos
PRI,II,2015,LIII,Morelos
PNA,III,2015,LIII,Morelos
PAN,IV,2015,LIII,Morelos
PVEM,V,2015,LIII,Morelos
PRI,VI,2015,LIII,Morelos
PRD,VII,2015,LIII,Morelos
PRI,VIII,2015,LIII,Morelos
PNA,IX,2015,LIII,Morelos
PRI,X,2015,LIII,Morelos
PRD,XI,2015,LIII,Morelos
PRD,XII,2015,LIII,Morelos
PRD,XIII,2015,LIII,Morelos
PRD,XIV,2015,LIII,Morelos
PRD,XV,2015,LIII,Morelos
PAN,XVI,2015,LIII,Morelos
PRD,XVII,2015,LIII,Morelos
PRD,XVIII,2015,LIII,Morelos
PAN,,2015,LIII,Morelos
PAN,,2015,LIII,Morelos
PRI,,2015,LIII,Morelos
PRI,,2015,LIII,Morelos
PT,,2015,LIII,Morelos
PVEM,,2015,LIII,Morelos
MoCi,,2015,LIII,Morelos
PNA,,2015,LIII,Morelos
PSD,,2015,LIII,Morelos
MORENA,,2015,LIII,Morelos
ENC SOC,,2015,LIII,Morelos
HUMAN,,2015,LIII,Morelos
PRD,VI,2012,LII,Morelos
PRD,II,2012,LII,Morelos
PRD,V,2012,LII,Morelos
PRD,I,2012,LII,Morelos
PRD,XV,2012,LII,Morelos
Guzmán,XV,2012,LII,Morelos
PRD,IV,2012,LII,Morelos
PRD,XIV,2012,LII,Morelos
PRI,XII,2012,LII,Morelos
PRI,XVI,2012,LII,Morelos
PRI,VII,2012,LII,Morelos
PRI,VIII,2012,LII,Morelos
PRI,,2012,LII,Morelos
PRI,,2012,LII,Morelos
PRI,,2012,LII,Morelos
PSD,,2012,LII,Morelos
PT,IX,2012,LII,Morelos
PT,XVIII,2012,LII,Morelos
PT,III,2012,LII,Morelos
PAN,,2012,LII,Morelos
PAN,,2012,LII,Morelos
PAN,,2012,LII,Morelos
PAN,,2012,LII,Morelos
PVEM,XVII,2012,LII,Morelos
PVEC,,2012,LII,Morelos
PVEM,,2012,LII,Morelos
MC,X,2012,LII,Morelos
PMC,XIII,2012,LII,Morelos
PANAL,,2012,LII,Morelos
PRI,I,2009,LI,Morelos
PRI,II,2009,LI,Morelos
PRI,III,2009,LI,Morelos
PRI,IV,2009,LI,Morelos
PRI,V,2009,LI,Morelos
PRI,VI,2009,LI,Morelos
PRI,VII,2009,LI,Morelos
PRI,VIII,2009,LI,Morelos
PRI,IX,2009,LI,Morelos
PRI,X,2009,LI,Morelos
PRI,XII,2009,LI,Morelos
PRI,XIII,2009,LI,Morelos
PRI,XV,2009,LI,Morelos
PRI,XVI,2009,LI,Morelos
PRI,XVII,2009,LI,Morelos
PAN,XI,2009,LI,Morelos
PAN,XIV,2009,LI,Morelos
PAN,XVIII,2009,LI,Morelos
PAN,,2009,LI,Morelos
PAN,,2009,LI,Morelos
PAN,,2009,LI,Morelos
PRD,,2009,LI,Morelos
PRD,,2009,LI,Morelos
PRD,,2009,LI,Morelos
PVEM,,2009,LI,Morelos
PVEM,,2009,LI,Morelos
CONV,,2009,LI,Morelos
CONV,,2009,LI,Morelos
PANAL,,2009,LI,Morelos
PT,,2009,LI,Morelos
PAN,I,2006,L,Morelos
PAN,II,2006,L,Morelos
PAN,III,2006,L,Morelos
PAN,IV,2006,L,Morelos
PAN,V,2006,L,Morelos
PRD,VI,2006,L,Morelos
PC,VII,2006,L,Morelos
PAN,VIII,2006,L,Morelos
PRD,IX,2006,L,Morelos
PRD,X,2006,L,Morelos
PRD,XI,2006,L,Morelos
PRD,XII,2006,L,Morelos
PAN,XIII,2006,L,Morelos
PRD,XIV,2006,L,Morelos
PC,XV,2006,L,Morelos
PAN,XVI,2006,L,Morelos
PAN,XVI,2006,L,Morelos
PRD,XVIII,2006,L,Morelos
PAN,,2006,L,Morelos
PAN,,2006,L,Morelos
PAN,,2006,L,Morelos
